21.43,91,12/05/2024 19:45:01
21.42,91,12/05/2024 19:45:07
21.37,91,12/05/2024 19:45:13
21.41,91,12/05/2024 19:45:19
21.41,91,12/05/2024 19:45:25
21.4,91,12/05/2024 19:45:31
21.39,91,12/05/2024 19:45:37
21.41,91,12/05/2024 19:45:43
21.43,91,12/05/2024 19:45:49
21.42,91,12/05/2024 19:45:55
21.41,91,12/05/2024 19:46:02
21.42,91,12/05/2024 19:46:08
21.45,91,12/05/2024 19:46:14
21.4,91,12/05/2024 19:46:20
21.42,91,12/05/2024 19:46:26
21.4,91,12/05/2024 19:46:32
21.41,91,12/05/2024 19:46:38
21.41,91,12/05/2024 19:46:44
21.4,91,12/05/2024 19:46:50
21.42,91,12/05/2024 19:46:56
21.4,91,12/05/2024 19:47:02
21.4,91,12/05/2024 19:47:08
21.41,91,12/05/2024 19:47:14
21.38,91,12/05/2024 19:47:20
21.43,91,12/05/2024 19:47:26
21.4,91,12/05/2024 19:47:32
21.42,91,12/05/2024 19:47:38
21.41,91,12/05/2024 19:47:44
21.42,91,12/05/2024 19:47:50
21.4,91,12/05/2024 19:47:56
21.39,91,12/05/2024 19:48:02
21.39,91,12/05/2024 19:48:08
21.4,91,12/05/2024 19:48:14
21.4,91,12/05/2024 19:48:20
21.38,91,12/05/2024 19:48:26
21.39,91,12/05/2024 19:48:32
21.39,91,12/05/2024 19:48:38
21.38,91,12/05/2024 19:48:44
21.38,91,12/05/2024 19:48:50
21.37,91,12/05/2024 19:48:56
21.38,91,12/05/2024 19:49:02
21.37,91,12/05/2024 19:49:08
21.37,91,12/05/2024 19:49:14
21.33,91,12/05/2024 19:49:20
21.32,91,12/05/2024 19:49:26
21.35,91,12/05/2024 19:49:32
21.34,91,12/05/2024 19:49:38
21.36,91,12/05/2024 19:49:44
21.33,91,12/05/2024 19:49:50
21.34,91,12/05/2024 19:49:56
21.35,91,12/05/2024 19:50:02
21.31,91,12/05/2024 19:50:08
21.33,91,12/05/2024 19:50:14
21.31,91,12/05/2024 19:50:20
21.34,91,12/05/2024 19:50:26
21.32,91,12/05/2024 19:50:32
21.34,91,12/05/2024 19:50:38
21.31,91,12/05/2024 19:50:44
21.35,91,12/05/2024 19:50:50
21.34,91,12/05/2024 19:50:56
21.31,91,12/05/2024 19:51:02
21.35,91,12/05/2024 19:51:08
21.35,91,12/05/2024 19:51:14
21.32,91,12/05/2024 19:51:21
21.34,91,12/05/2024 19:51:27
21.37,91,12/05/2024 19:51:33
21.39,91,12/05/2024 19:51:39
21.34,91,12/05/2024 19:51:45
21.34,91,12/05/2024 19:51:51
21.37,91,12/05/2024 19:51:57
21.34,91,12/05/2024 19:52:03
21.32,91,12/05/2024 19:52:09
21.36,91,12/05/2024 19:52:15
21.34,91,12/05/2024 19:52:21
21.31,91,12/05/2024 19:52:27
21.35,91,12/05/2024 19:52:33
21.35,91,12/05/2024 19:52:39
21.37,91,12/05/2024 19:52:45
21.36,91,12/05/2024 19:52:51
21.34,91,12/05/2024 19:52:57
21.35,91,12/05/2024 19:53:03
21.34,91,12/05/2024 19:53:09
21.34,91,12/05/2024 19:53:15
21.37,91,12/05/2024 19:53:21
21.37,91,12/05/2024 19:53:27
21.34,91,12/05/2024 19:53:33
21.4,91,12/05/2024 19:53:39
21.35,91,12/05/2024 19:53:45
21.34,91,12/05/2024 19:53:51
21.36,91,12/05/2024 19:53:57
21.32,91,12/05/2024 19:54:03
21.38,91,12/05/2024 19:54:09
21.31,91,12/05/2024 19:54:15
21.41,91,12/05/2024 19:54:21
21.35,91,12/05/2024 19:54:27
21.36,91,12/05/2024 19:54:33
21.39,91,12/05/2024 19:54:39
21.35,91,12/05/2024 19:54:45
21.37,91,12/05/2024 19:54:51
21.37,91,12/05/2024 19:54:57
21.38,91,12/05/2024 19:55:03
21.37,91,12/05/2024 19:55:09
21.42,91,12/05/2024 19:55:15
21.39,91,12/05/2024 19:55:21
21.37,91,12/05/2024 19:55:27
21.38,91,12/05/2024 19:55:33
21.35,91,12/05/2024 19:55:39
21.37,91,12/05/2024 19:55:45
21.34,91,12/05/2024 19:55:51
21.4,91,12/05/2024 19:55:58
21.35,91,12/05/2024 19:56:04
21.38,91,12/05/2024 19:56:10
21.37,91,12/05/2024 19:56:16
21.38,91,12/05/2024 19:56:22
21.39,91,12/05/2024 19:56:28
21.39,91,12/05/2024 19:56:34
21.39,91,12/05/2024 19:56:40
21.4,91,12/05/2024 19:56:46
21.36,91,12/05/2024 19:56:52
21.35,91,12/05/2024 19:56:58
21.36,91,12/05/2024 19:57:04
21.37,91,12/05/2024 19:57:10
21.39,91,12/05/2024 19:57:16
21.39,91,12/05/2024 19:57:22
21.36,91,12/05/2024 19:57:28
21.37,91,12/05/2024 19:57:34
21.39,91,12/05/2024 19:57:40
21.42,91,12/05/2024 19:57:46
21.39,91,12/05/2024 19:57:52
21.37,91,12/05/2024 19:57:58
