87,2024-05-12 19:30:45;
86,2024-05-12 19:31:45;
86,2024-05-12 19:32:45;
85,2024-05-12 19:33:45;
84,2024-05-12 19:34:45;
84,2024-05-12 19:35:45;
83,2024-05-12 19:36:45;
82,2024-05-12 19:37:45;
82,2024-05-12 19:38:45;
81,2024-05-12 19:39:45;
80,2024-05-12 19:40:45;
80,2024-05-12 19:41:45;
79,2024-05-12 19:42:45;
79,2024-05-12 19:43:45;
78,2024-05-12 19:44:45;
77,2024-05-12 19:45:45;
77,2024-05-12 19:46:45;
76,2024-05-12 19:47:45;
75,2024-05-12 19:48:45;
75,2024-05-12 19:49:45;
74,2024-05-12 19:50:45;
73,2024-05-12 19:51:45;
73,2024-05-12 19:52:45;
72,2024-05-12 19:53:45;
71,2024-05-12 19:54:45;
71,2024-05-12 19:55:45;
70,2024-05-12 19:56:45;
69,2024-05-12 19:57:45;
69,2024-05-12 19:58:45;
68,2024-05-12 19:59:45;
67,2024-05-12 20:00:45;
67,2024-05-12 20:01:45;
